REVIEW, STAR RATING, USERNAME, USER LINK
 Watched it, horrible. poorly written, took away everything that made the past Star Wars films great. The main past characters got trashed, the new characters are flawed, even the new fighter designs with compressor engine blades that split in half show just how poorly thought out the new franchise is. pure dribble compared to the past shows, ticket sales and toys sales tanking for a reason., ni,  Jeff B, https://www.rottentomatoes.com/user/id/951028791/
 Luke vs rey and Luke vs kylo was good also kylo and rey vs protorian guards and ports ofcourse, 5.0,  Biscky D, https://www.rottentomatoes.com/user/id/977056266/
 Honesty was the worst star wars movie a huge disappointment. Plot holes left and right., 1.0,  Gabriel H, https://www.rottentomatoes.com/user/id/895533337/
 I cannot believe that I am saying this, but, THE LAST JEDI is worse than PHANTOM MENACE. I never thought I would say that about another Star Wars Movie. This movie had a total disrespect for the original characters. But even if none of the original cast were in this movie, it is still a terrible story with ridiculous plot holes. They push a progressive political message. All the women are leaders and strong, all the men are either evil, stupid, or weak. I think Rian Johnson believes he is a woman, and one day he is going to announce he is transgender. The critics giving great reviews are obviously Progressives as well and/or terrified of Disney., 0.5,  Frank C, https://www.rottentomatoes.com/user/id/977056247/
 it is an... -ok- movie; im realizing that these movies are being made for a newer generation, not the people who were kids when the original trilogy came out. that makes sense. im sort of done i think, with sw. though, Rogue One was excellent., 2.0,  MARK%20 P, https://www.rottentomatoes.com/user/id/977056253/
 I wanted to like it, but it gave me too many reasons to question the plot and sub plots. It was not as good as the last two., 2.0,  Scott R, https://www.rottentomatoes.com/user/id/710784925/
 Good Stuff-<br>Action Scenes: Fantastic fight scenes in and out of space<br>Sound and CGI: Great CGI and soundtrack<br>Bad Stuff-<br>Acting: Stiff and wooden<br>Plot holes are everywhere<br>and finally, the last straw for me was the damnation of Mark Hamill's character Luke Skywalker., 1.0,  , https://www.rottentomatoes.com/user/id/977001207/
 After TFA, I was kind of worried that nuWars would supplant Star Wars in peoples' hearts and minds. Would the Resistance replace The Rebellion? Would the First Order replace the Empire? Would BB-8 replace R2?<br><br>After the dumpster fire that was TLJ I realized I need not have worried. Rian Johnson took what was a guaranteed home run, and tripped over his own dick. Instead of a movie, I got a 2+ hour PSA on feminist and anti-capitalist ideology - from the freaking evil empire Disney no less!, 0.5,  Brody R, https://www.rottentomatoes.com/user/id/974275634/
 Similar to The Force Awakens, this might be a movie I'll have to re-evaluate once the trilogy is concluded. As it stands now, I liked it. But I did have problems with it, and more problems that are hard to ignore and more than The Force Awakens.<br>I'm just going to get the bad stuff out of the way. Finn's arc is pointless. It builds the universe more and gives some interesting commentary, but it felt really unnecessary. When it comes to the main story, there are some plot points that were built up and just dropped off a cliff. Rey's parentage actually didn't bother me, I kinda' liked it, but Snoke's role here just pissed me off. It felt like an attempt to be unexpected and edgy but instead it just came off like a disrespect for the mythology that was being created. The biggest problem though is how small the movie can feel. We're following the final remnants of the rebellion, but considering where the last film left off I find that kind of hard to believe. Additionally, this makes things feel very limited. Force Awakens had a lot of repeat, but the task they were facing felt huge. Here, they're really just running and trying to survive. That could be huge, the last flashes of the rebellion trying to survive, that could be big, but it never feels that big.<br>I only give Star Wars crap because I love it so. And the thing is, despite all its flaws, I did still like this entry. It is the next chapter in these character's stories, and even if the plot has issues the characters still work. I like seeing Luke again, even if he is older and grumpier he's still Luke. Finn and Rey are still enjoyable as our new leads, and Rey in particular goes through some serious stuff in this entry and I was totally invested in her journey. There's also some really solid action scenes, including a fight with those red guards who we never before got to see fight that is just awesome to witness.<br>The Last Jedi gives us a lot of awesome stuff, but it doesn't give enough of what I wanted to see. Still, if I'm distinguishing between what I wanted and what I got, what I got was still mostly solid. It's not perfect, and its flaws really bug me, but the characters are still great and it still feels like classic Star Wars. It leads the franchise in a direction I'm not sure what to expect from. Force Awakens brought things back on track, and The Last Jedi sends things in an unexpected direction. With where things end here, I am for the first time with Star Wars completely unsure of what to expect next, and honestly that's pretty exciting., 4.0,  Michael M, https://www.rottentomatoes.com/user/id/795650964/
 what an absolute waste of time watching this was, 0.5,  Ian G, https://www.rottentomatoes.com/user/id/957247463/
 The political overtones set forth by the last two movies were taken to extremes on this episode. Plus, the movie trashes the legacy of the original trilogy. Not a very bright future for the franchise., 1.5,  Samuel L, https://www.rottentomatoes.com/user/id/898144824/
 I love Star Wars. This was not good Star Wars. The more I think about Rian Johnsons reasoning behind what motivates the characters in this installment the more upset I get. For example, Rose crashing into Finn cuz he was sacrificing himself for the greater good (love) and then telling him the resistance will only win by doing things out of love left me dumbfounded. During multiple moments while watching the movie I remember wondering if a teenager wrote the script and purposely cut out everything that we were looking forward to just to say, "Gotcha". Yes, JJ Abrams left a lot of mystery boxes from "The Force Awakens" for Rian to answer but Rian decided to answer barely anything and if he did I was only left with disappointment. If I could give this review zero stars I would. I honestly wish this movie would be retracted by Disney but they just made so much money off of this low IQ film. I don't even care to see episode IX or the upcoming Solo movie. Disney and Lucasfilms (*cough Kathleen Kennedy cough*) are not giving the true Star Wars fans, who care about EU and lore, the movie that they deserve., 0.5,  Joshua B, https://www.rottentomatoes.com/user/id/977013948/
 I am 56 years old. I remember standing in line for hours to see this movie in 1977. Never before was there a line blocks long to get into a movie. Once you were in the theater it was a celebration but when the crawl began it became quiet and an almost spritual experience. The crowd held onto their seats and were enthralled. I was inspired. I wanted to be as good as Luke. I have loved the force all my life. You FUCKERS!!! What they did to the Skywalker name is a disgrace. Anyone who watched the 3 original movies KNOWS Luke is an honorable and faithful JEDI that goes to the core of his VERY EXISTENCE. NO WAY does he become the crumudgeon who yells at kids who cross his yard and suckles green tit milk. It must be Rian's fantasy. It is not mine. It is not any true Star Wars believer's either. Maybe if your a baby or into that kind of shit you will enjoy it. As for me, and MILLIONS of others, we're OUT. This did not happen, 0.5,  Karen R, https://www.rottentomatoes.com/user/id/977056087/
 Neither me nor my son enjoyed this movie., 1.0,  Silent S, https://www.rottentomatoes.com/user/id/977056134/
 Not only was the premise painfully stupid the way that Rian Johnson ruined the Star Wars mythology made the film hard to watch. Additionally he took one of the most important and brave characters (Luke Skywalker) and made him a bubbling, sniveling, wimp. <br><br>Hopefully JJ Abrams can save the disaster that Johnson has made., 0.5,  , https://www.rottentomatoes.com/user/id/977056105/
 Star wars the last feminist is the biggest disgrace to the star wars franchise as a whole. It honestly felt like a parody of star wars with a forced diversity agenda. There was a strong level of feminism throughout blatantly labeling men as stupid and reckless imbeciles. I feel like Rian Johnson has never even watched a star wars movie before because nothing about his film has a resemblance. There wasn't even a lightsaber duel in a 3 hour star wars film....... are you freaking dumb rian? My only last wish is that Disney drops the star wars rights because they have ruined it for mostly everyone. Congrats., 0.5,  Anthony M, https://www.rottentomatoes.com/user/id/962448934/
 the main fight was finn vs phasma it was mad, 5.0,  Off D, https://www.rottentomatoes.com/user/id/977055882/
 It was so so so so so good, 5.0,  Max B, https://www.rottentomatoes.com/user/id/977056082/
 An excellent Stars wars story. Fun to watch. Excellent new characters. Goes a bit long and the spaceship rules were a bit strange. Still fun., 4.0,  Korey K, https://www.rottentomatoes.com/user/id/977056072/
 I enjoyed it. I like that there is humour in the movie, and the drama, tension and emotions were portrayed well. Whilst some parts were predictable, overall I felt the movie fit in well with the rest, and is definitely worth seeing, 4.0,  Josh B, https://www.rottentomatoes.com/user/id/812681042/
 A fresh take on the series that admittedly had a few missteps. Though not enough missteps to garner the hatred it's gotten from a lot of people, in my opinion. This movie makes me exited for the third and final film in the trilogy, which is exactly what one should want from this second installment., 4.5,  , https://www.rottentomatoes.com/user/id/977055313/
 Ein absolutes Chaos <br>+ Gute Optik<br>- Story<br>-Charakter Entwicklung <br>- Musik (nichts neues)<br>-Deplazierter Humor<br>-Plot Holes <br>-Keine neuen Ideen <br>Ein Marvel Film im Star Wars Gewand, 0.5,  , https://www.rottentomatoes.com/user/id/977055299/
