 A grand sci fi epic with some familiar and new characters! A mind blowing action adventure! 4/4, 4.0,  Tim R, https://www.rottentomatoes.com/user/id/968806974/, February 20 2018, N/A
 Una copia fatta male di "Una nuova Speranza", 1.5,  Tommaso C, https://www.rottentomatoes.com/user/id/977127638/, February 20 2018, N/A
 I remember saying after my first and only viewing of this dumpster fire "If this is the direction Disney is taking Star Wars then I fear for the franchise."<br><br>After Rogue One and The Last Jedi that sentiment has only gotten stronger. I doubt that the next installment will even be worth pirating let alone paying for., 0.5,  Jake F, https://www.rottentomatoes.com/user/id/977080964/, February 19 2018, N/A
 Not a horrible movie I just don't really see the point. I think that's most people's problem with this movie that it's trying to expand on a 6 part space epic that concluded decades ago and didn't leave much room for or allude to in any way a sequel. <br><br>This movie never could've been good since had huge shoes to fill and it had to find a reason to exist since the old movies ended satisfyingly.<br><br>Genuinely though it's an ok movie with interesting characters but a couple of plot holes and not really spectacular. People's main complaint seems to be that it's largely just a reskin of ep IV. I kind of see why they did that just to play safe but I think this movie would've been better if they just totally took it in a new direction. And not created this first order/resistance conflict out of thin air.<br><br>It wasn't bad but it wasn't particularly memorable or interesting. It at least laid a good foundation of characters and a storyline for the next installments to build on but holy s**t did they screw that up. ep VIII is so bad it really makes me appreciate this one more. <br><br>It's a real shame that in the long run this series won't have much of a legacy and this one that was supposed to start it off and lay the foundation for the next will probably be the best. I'm not even going to see IX there's nothing interesting going on anymore., 2.0,  Sam O, https://www.rottentomatoes.com/user/id/977081629/, February 19 2018, N/A
 This movie was every bit as dumb as Episodes I - III. Such a disappointment., 0.5,  Steven R, https://www.rottentomatoes.com/user/id/976963627/, February 19 2018, N/A
 This movie helped to destroy the franchise, 0.5,  Trevor S, https://www.rottentomatoes.com/user/id/977120690/, February 17 2018, N/A
 Disney Executive: "Ayyy they liked A New Hope a lot. It's been enough years lets just give 'em the same movie over again. They're sheep anyway they'll eat whatever we put on their plates!", 1.5,  Semaj S, https://www.rottentomatoes.com/user/id/977110464/, February 17 2018, N/A
 Packed with familiar faces and even a somewhat fresh storyline The Force Awakens justifies all 3 of the prequels and manages to recapture the spirit of the original trilogy., 4.5,  Christopher H, https://www.rottentomatoes.com/user/id/977112305/, February 17 2018, N/A
 This is a great movie and a great redemption from the past. It has very likeable characters a GREAT and fresh villain pretty good action sequences and a mysterious story that I find myself interested in discovering. This is my 4th favorite Star Wars movie after Empire Strikes Back Return of the Jedi and Rogue One., 4.0,  Giordano P, https://www.rottentomatoes.com/user/id/975990349/, February 17 2018, N/A
 J.J. Abrams gets Star Wars back to looking visually like the original trilogy which is clearly good. There's some interesting story arcs being set up ultimately ruined by the appalling and disgraceful The Last Jedi. There is however too much fan pandering and modern pop-culture moments in the movie and a lot of ethnically diverse casting just for the sake of having an ethnically diverse cast. Also the way in which the main protagonist Rey develops her force skills is poorly executed. If she had exhibited some moderate skills in the beginning when she lived alone it would have been slightly more plausible when she took on an adversary with force skill training. Overall an entertaining movie with plenty of little flaws to annoy hardcore Star Wars fans and even casual fans but not a complete disaster the disaster would follow in the form of The Last Jedi., 3.0,  Mark A, https://www.rottentomatoes.com/user/id/977011461/, February 17 2018, N/A
 Not enjoying the new series. Not sure if this segment storytelling was necessary. Also to me characters in the movie lacked distinct features. There were distinguishable moments throughout the film that made me think of World War II instead of a battle/war in space., 1.0,  Brandon C, https://www.rottentomatoes.com/user/id/977116534/, February 16 2018, N/A
 Not bad at all. I am no fan of the new Star Wars franchise but this one was worth the effort., 3.5,  Peter%20 S, https://www.rottentomatoes.com/user/id/977115092/, February 16 2018, N/A
 Completely unnecessary chapters in saga. Lack of originality trying to satisfy the hunger and desires of fans of the originals. Especially that group that cant leave 70's and 80's. Franchise needs to move on develop explore new worlds new lines new characters and eras. <br>Characters are terrible and the main protagonist is too perfect which is ridiculous in every way. And I guess that's side product that terrifies me - political agendas. Let the art and creativity grow without mixing it and forcing with someones point of view., 1.0,  Marko D, https://www.rottentomatoes.com/user/id/977114052/, February 16 2018, N/A
 Watching it 3 times at the movies loved each and everything I saw it. Though the story is predictable and replicates the first trilogy story arc the action sequences are good the characters familiar mixed with new and a great comeback to refresh the franchise., 4.5,  Terrance S, https://www.rottentomatoes.com/user/id/977113878/, February 16 2018, N/A
 This is a real Star Wars movie..., 5.0,  Raul H, https://www.rottentomatoes.com/user/id/977031269/, February 15 2018, N/A
 I entered having high expectations but left disappointed. After a slow first half featuring little plot development and too many meaningless battle scenes the film does pick up momentum in the second half. But I kept thinking I had seen it all before in the previous Star Wars films. The characters the plot the plot twists the sets even the dialogue were all re-hashed. The numerous attempts at charm romance humour and wit didn't work. Even the new droid was just too cutesy. I really didn't connect with the characters and much of the acting (from both new and established actors) was average. The highest grossing film of 2015. BW. AFI 1001, 3.0,  Mike V, https://www.rottentomatoes.com/user/id/950916199/, February 14 2018, N/A
 Disappointing.. and after seeing the new one.. I hate the direction., 0.5,  Cj J, https://www.rottentomatoes.com/user/id/977108735/, February 13 2018, N/A
 JJ Abrams did a solid job. Good casting. Decent writing., 4.0,  Brett A, https://www.rottentomatoes.com/user/id/977108480/, February 13 2018, N/A
 I saw this movie a number of times in the cinema. I know some people say the plot wasn't daring enough but this is a reboot of the franchise and the movie was full with nostalgia at the same time as introducing new characters going forwards. I couldn't have enjoyed it more. Well done Disney., 5.0,  James A, https://www.rottentomatoes.com/user/id/977105128/, February 13 2018, N/A
 Initially I didn't like this movie but after watching it again I enjoyed it as a whole. Its nice to have a fresh perspective and new characters even if the story is a rehash. Honestly after the prequels we needed a rehash to reinvigorate and invite fans back. <br><br>That said I struggled in the movie the first time through. Character names weren't said right away or were said so quickly I didn't make connections. It was hard to invest in people I didn't know and that colored the whole experience. Now that I know them I can more fully enjoy it.<br><br>I was very saddened by the particular important death in this movie and i understand it but I think it could have been handled a little better. That said its a poinant moment and it hit the right chord to get its impact., 3.5,  William J, https://www.rottentomatoes.com/user/id/977026279/, February 12 2018, N/A
 Although the film offers some great moments one criticism rises over the rest it's just a replica of 'A New Hope'. Sure the film was fun and entertaining but whenever I watch this film I just can't get rid of the thought I just hope that J.J. Abrams delivers with an original idea with Episode 9. After watching 'The Last Jedi' I have to give credit to the film's storytelling. The film is still great and I don't hate it but I just wish the team at Lucasfilm had been more creative with this one. I rate 'Star Wars: The Force Awakens 78%., 4.0,  Rocco S, https://www.rottentomatoes.com/user/id/977102435/, February 12 2018, N/A
 Fun! A great way to bring the old players and fans back. It is a little like IV but still fresh and exciting! I love it! JJ thank you!, 5.0,  Sean W, https://www.rottentomatoes.com/user/id/977100760/, February 12 2018, N/A
 I use to think the prequels were bad with Jar Jar Binks. The Force Awakens makes me miss Jar Jar Binks. The movie was awful. Other than this being a re-make re-boot of A NEW HOPE. Did no one in the movie (Han Solo Leia) go hmm this all seems so familiar. Hmmm. This movie just negates the original 3 movies. Soooooo bad ugh, 1.0,  , https://www.rottentomatoes.com/user/id/977106608/, February 12 2018, N/A
 No problem of the reworked version of a new hope for a woman. Luckily Ridley was ok. Would like to see more continuity or just better new aliens. So much better than the mess of ep8 with its political agenda and terrible story! Disney should be ashamed. <br>However if ep9 is not better which will be difficult as Kennedy and JOHNSON have killed and destroyed all that was good after 40 years of heavy investment I will be out! <br>Interesting that it shows the critics are on board with the political agenda too the audience score says it all about ep8. Disney I would be worried., 3.5,  Matt T, https://www.rottentomatoes.com/user/id/958503454/, February 12 2018, N/A
 Meesa new characters can usaa de force with no training meesa thinks..story line bantha poodoo....meesa thinks-Jar Jar, 0.5,  bob s, https://www.rottentomatoes.com/user/id/977106114/, February 11 2018, N/A
 awe man what an event it was before The Fore Awakens the franchise was going down in smoke but this film brought it back great film, 5.0,  , https://www.rottentomatoes.com/user/id/977105633/, February 11 2018, N/A
 tried to remake of the ep. IV another death mega star? really? empty characters awesome "coincidences" Renn's actor is frankly bad and his crummy character Finn should have died when he even dared to fight in a batten of lightsaber duel against a trained jedi Oscar Isaac's character killing 7 or 8 ties in less than 15 seconds when he appears on the X-Wing destiny of Han Solo..., 1.0,  Cheky E, https://www.rottentomatoes.com/user/id/977098626/, February 11 2018, N/A
 I'm sorry but that's definitely not the kind of new chapter I expected. "My" final chapter will always be "Star Wars VI: Return of the Jedi"., 2.0,  Monica M, https://www.rottentomatoes.com/user/id/977105119/, February 11 2018, N/A
 Awful. Ihas almost soured all things Star Wars for me, 2.0,  Samson C, https://www.rottentomatoes.com/user/id/783161980/, February 11 2018, N/A
 a great movie sticks to the roots of the original trilogy, 4.5,  J R, https://www.rottentomatoes.com/user/id/977102901/, February 10 2018, N/A
 This film was okay and the primary reason I did not like it was because Disney abandoned the Expanded Universe entirely. In the books Boba Fett came back Chewy died not Solo and Luke was a bad ass Jedi Master that lead the new Jedi order., 2.5,  Boba F, https://www.rottentomatoes.com/user/id/975039654/, February 9 2018, N/A
 The Last Jedi has now rendered the Force Awakens totally unwatchable. None of the set ups have any pay offs nothing that is alluded to as important makes any difference. It takes a special kind of fuck up to ruin two movies -- thank you Rian "idiot" Johnson., 1.5,  Paul T, https://www.rottentomatoes.com/user/id/977079789/, February 8 2018, N/A
 WORST STAR WARS MOVIE! COPY PASTE WITH VERY BAD ACTING !, ni,  , https://www.rottentomatoes.com/user/id/977097042/, February 7 2018, N/A
 ReallyReally Good Comeback For The Star Wars Saga., 5.0,  Jason K, https://www.rottentomatoes.com/user/id/975240255/, February 7 2018, N/A
 This film takes on the unenviable task of restarting a franchise with new storylines and returning original cast and absolutely nails it. While some dislike the homages to the original films it shows a strong respect for previous material while taking bold strides forward. Every new major character is phenomenal and easily up to the task of carrying this franchise forward and the risks taken in story pay off in spades., 4.5,  Andrew F, https://www.rottentomatoes.com/user/id/977096326/, February 7 2018, N/A
 Not particularly adventurous but a great return to form respects the originals provides admittedly underwritten yet still enjoyable characters serves as a nice starting point lots and lots of plotholes, 3.5,  Harvey W, https://www.rottentomatoes.com/user/id/976966032/, February 7 2018, N/A
 One of my favorite Star Wars movies The Force Awakens offers us some awesome characters such as Rey Finn Kylo Ren and more it was a great movie but Han Solo's death and Rey beating Kylo Ren was disappointing overall it was a very good movie that you can watch at least 5 times a year without getting bored of it., 4.0,  Christian K, https://www.rottentomatoes.com/user/id/977094387/, February 6 2018, N/A
 Title: Force Awaken<br>Story/Writing/Message/Plot: 1<br>Character/Acting: 3<br>Music/Sound: 2<br>Cinematography/Editing: 2<br>Age/Originality: 0<br>Total: 8/25, 1.5,  Shingo M, https://www.rottentomatoes.com/user/id/920647947/, February 6 2018, N/A
 J.J Abraham did a good job portraying a Star wars film. Much better then Ryan Johnson, 3.5,  hakim s, https://www.rottentomatoes.com/user/id/977092370/, February 5 2018, N/A
 THis was a bad remake of a new hope!, 2.0,  Dan R, https://www.rottentomatoes.com/user/id/799533392/, February 5 2018, N/A
 The Force Awakens is a welcome return to the lived-in universe of the well-loved original trilogy. The characters are engaging the visuals are stunning and the story adeptly balances the old and the new. However the film suffers from a rehashed plot that lifts elements from A New Hope and essentially recrafts them sometimes to a fault. Though derivative TFA's strengths far outweigh its weaknesses. The film manages even in the face of unprecedented hype to recapture the boundless energy that embodied the originals and was so lacking in the prequels. The Force has awakened and it's here to stay., 3.5,  Scott M, https://www.rottentomatoes.com/user/id/972643831/, March 13 2018, N/A
